date,value
1/1/2001,83.7454
2/1/2001,84.7763
3/1/2001,84.9021
4/1/2001,85.1574
5/1/2001,85.2289
6/1/2001,84.3547
7/1/2001,84.0615
8/1/2001,84.0531
9/1/2001,84.1164
10/1/2001,83.6798
11/1/2001,83.0481
12/1/2001,82.2033
1/1/2002,81.5119
2/1/2002,81.1255
3/1/2002,80.0792
4/1/2002,80.2043
5/1/2002,80.9678
6/1/2002,80.9592
7/1/2002,80.435
8/1/2002,80.7982
9/1/2002,79.1495
10/1/2002,77.7494
11/1/2002,79.7569
12/1/2002,80.2551
1/1/2003,80.4181
2/1/2003,80.5267
3/1/2003,80.4185
4/1/2003,80.1961
5/1/2003,79.6699
6/1/2003,79.8251
7/1/2003,79.5098
8/1/2003,80.5914
9/1/2003,81.0801
10/1/2003,80.9545
11/1/2003,80.5284
12/1/2003,80.538
1/1/2004,81.1265
2/1/2004,80.2626
3/1/2004,80.5164
4/1/2004,80.2763
5/1/2004,79.9241
6/1/2004,79.831
7/1/2004,81.2376
8/1/2004,80.5987
9/1/2004,78.3124
10/1/2004,79.2352
11/1/2004,80.9187
12/1/2004,80.9039
1/1/2005,80.816
2/1/2005,81.8652
3/1/2005,81.6805
4/1/2005,81.8958
5/1/2005,81.0517
6/1/2005,81.0173
7/1/2005,80.6901
8/1/2005,80.3067
9/1/2005,72.5637
10/1/2005,74.2577
11/1/2005,77.3812
12/1/2005,78.2521
1/1/2006,80.2641
2/1/2006,79.7975
3/1/2006,79.8598
4/1/2006,80.499
5/1/2006,81.1509
6/1/2006,81.5613
7/1/2006,81.9088
8/1/2006,81.6728
9/1/2006,82.0137
10/1/2006,82.3967
11/1/2006,81.2755
12/1/2006,82.5508
1/1/2007,80.6948
2/1/2007,81.4645
3/1/2007,81.4511
4/1/2007,81.6686
5/1/2007,82.3006
6/1/2007,81.8722
7/1/2007,81.837
8/1/2007,81.8282
9/1/2007,81.9594
10/1/2007,81.7101
11/1/2007,82.6606
12/1/2007,83.3114
1/1/2008,82.9316
2/1/2008,83.0173
3/1/2008,83.439
4/1/2008,83.8342
5/1/2008,83.6774
6/1/2008,84.3035
7/1/2008,86.4441
8/1/2008,85.062
9/1/2008,75.4202
10/1/2008,82.0229
11/1/2008,83.927
12/1/2008,82.336
1/1/2009,81.8912
2/1/2009,80.8176
3/1/2009,79.0326
4/1/2009,77.8102
5/1/2009,77.5999
6/1/2009,77.3766
7/1/2009,78.1807
8/1/2009,79.0604
9/1/2009,78.8024
10/1/2009,78.4539
11/1/2009,78.2768
12/1/2009,77.5706
1/1/2010,79.1047
2/1/2010,80.5158
3/1/2010,81.2806
4/1/2010,81.6901
5/1/2010,81.6318
6/1/2010,81.7654
7/1/2010,82.2428
8/1/2010,83.5097
9/1/2010,84.6912
10/1/2010,84.8129
11/1/2010,84.1277
12/1/2010,84.5917
1/1/2011,84.4474
2/1/2011,82.7573
3/1/2011,85.7669
4/1/2011,86.3059
5/1/2011,87.2251
6/1/2011,87.6835
7/1/2011,87.1777
8/1/2011,88.7833
9/1/2011,88.3632
10/1/2011,90.5235
11/1/2011,91.564
12/1/2011,92.3953
1/1/2012,93.6289
2/1/2012,93.3809
3/1/2012,93.3578
4/1/2012,93.5921
5/1/2012,93.8907
6/1/2012,93.9757
7/1/2012,95.0303
8/1/2012,93.9267
9/1/2012,95.2931
10/1/2012,96.8337
11/1/2012,97.0582
12/1/2012,97.1556
1/1/2013,97.3959
2/1/2013,98.065
3/1/2013,98.5982
4/1/2013,99.4022
5/1/2013,99.7354
6/1/2013,100.4183
7/1/2013,101.7021
8/1/2013,101.6956
9/1/2013,103.4733
10/1/2013,101.7005
11/1/2013,102.4975
12/1/2013,102.9218
1/1/2014,104.3354
2/1/2014,105.3369
3/1/2014,107.5462
4/1/2014,109.431
5/1/2014,110.6241
6/1/2014,112.0793
7/1/2014,112.7611
8/1/2014,113.6915
9/1/2014,114.351
10/1/2014,114.6517
11/1/2014,113.896
12/1/2014,116.7144
1/1/2015,113.8321
2/1/2015,109.8351
3/1/2015,107.9911
4/1/2015,106.3322
5/1/2015,103.8095
6/1/2015,103.0063
7/1/2015,104.1944
8/1/2015,104.6592
9/1/2015,103.1473
10/1/2015,101.2113
11/1/2015,99.0364
12/1/2015,98.2831
1/1/2016,96.2777
2/1/2016,94.2673
3/1/2016,91.9311
4/1/2016,89.8186
5/1/2016,89.7853
6/1/2016,89.6451
7/1/2016,90.1536
8/1/2016,89.7983
9/1/2016,89.9933
10/1/2016,92.578
11/1/2016,92.0505
12/1/2016,91.8759
1/1/2017,94.0635
2/1/2017,96.2052
3/1/2017,97.3857
4/1/2017,98.5772
5/1/2017,99.4574
6/1/2017,100.7688
7/1/2017,100.7326
8/1/2017,100.0245
9/1/2017,101.1497
10/1/2017,102.7331
11/1/2017,104.4395
12/1/2017,104.4628
1/1/2018,104.1941
2/1/2018,106.9882
3/1/2018,108.7608
4/1/2018,110.0412
5/1/2018,110.5847
6/1/2018,113.0172
7/1/2018,114.3801
8/1/2018,117.4035
9/1/2018,117.8008
10/1/2018,117.8888
11/1/2018,118.5918
12/1/2018,120.4838
1/1/2019,119.9401
2/1/2019,118.2182
3/1/2019,118.6541
4/1/2019,121.1338
5/1/2019,121.15
6/1/2019,122.1159
7/1/2019,119.7394
8/1/2019,122.7171
9/1/2019,123.0976
10/1/2019,122.4624
11/1/2019,120.2063
12/1/2019,120.6474
1/1/2020,121.0105
2/1/2020,119.5609
3/1/2020,118.9656
4/1/2020,103.4638
5/1/2020,89.8498
6/1/2020,92.3039
7/1/2020,96.9154
8/1/2020,97.3539
9/1/2020,98.4009
10/1/2020,97.0668
11/1/2020,100.9108
12/1/2020,101.5424
1/1/2021,103.9842
2/1/2021,95.2059
3/1/2021,105.7935
4/1/2021,105.882
5/1/2021,106.8887
6/1/2021,107.1645
7/1/2021,107.6837
8/1/2021,107.8766
9/1/2021,105.8641
10/1/2021,109.4493
11/1/2021,110.2286
12/1/2021,110.9124
1/1/2022,109.6896
2/1/2022,108.8485
3/1/2022,112.2899
4/1/2022,112.6325
5/1/2022,113.5434
6/1/2022,114.427
7/1/2022,115.9872
8/1/2022,116.3288
9/1/2022,117.861
10/1/2022,118.2103
11/1/2022,117.6001
12/1/2022,115.2278
1/1/2023,119.6672
2/1/2023,118.81
3/1/2023,119.3138
4/1/2023,120.174
5/1/2023,119.5459
6/1/2023,120.0596
7/1/2023,120.4399
8/1/2023,119.9166
9/1/2023,120.89
10/1/2023,119.9735
11/1/2023,119.7738
12/1/2023,120.4936
1/1/2024,115.3018
2/1/2024,120.3005
3/1/2024,119.5996
4/1/2024,119.5332
5/1/2024,118.3101
6/1/2024,119.2153
7/1/2024,118.6462
8/1/2024,120.1373
9/1/2024,119.034
10/1/2024,119.4934
11/1/2024,118.4523
12/1/2024,120.8245
1/1/2025,117.9056
2/1/2025,119.3485
3/1/2025,120.7029
4/1/2025,120.3996
